,Unnamed: 0,review_id,user_id,business_id,useful,funny,cool,text,name,address,city,state,postal_code,latitude,longitude,is_open,stars_business,elite,friends,fans,average_stars,compliment_hot,compliment_more,compliment_profile,compliment_cute,compliment_list,compliment_note,compliment_plain,compliment_cool,compliment_funny,compliment_writer,compliment_photos,user_name,user_review_count,user_useful,user_funny,user_cool,year_joined,month_joined,day_joined,text_length,text_class,text_length_log,review_count_class,average_stars_class,review_count_log,friends_count,friends_count_log
0,45868,Sny6GNaP_Scu_2hmjRAeCA,HMQYQHcBiLM8JM36q3q5QQ,kBjqo0LWDf3UTvwHKhxWyA,0,0,0,"This place was great!  We were so disappointed we found it AFTER already having lunch, otherwise we would have gotten a full lunch... but it was 100% worth going for dessert!

Initially we stopped in because from the outside it looked like an Italian import shop and I wanted to see if they had anything that is harder to find at the shops at home in the US.  We were happy to find that in addition to specialty foods (which were really nice) they also served food. I speak literally no French beyond yes/no, so for me it was exciting to see the owner there and get to speak Italian-- it was my first real conversation in Montreal haha  But this place was the real deal-- it reminded me of the small shops I'd go to with a kid with my nonna.  We got split a cannoli and sfogliatelle with our coffees, and they were outstanding!  Just like homemade or any that I get in Italy.  I was excited to find a place outside of home that had such traditional items as sfogliatelle, so this was an exciting and delicious surprise!  The woman I presume is the owner was so nice and helpful!  My only regret is that we didn't get to have a delicious lunch there!  Everything looked out of this world!",Officina Travaglini et Chef Gadeau,152 Avenue Mozart Est,Montr̩al,QC,H2S 1B2,45.534739,-73.614399,0,4.5,,"5f6Tta1KVjosHYQ1ow80bg, Z-xATK0_oPhI5IP_tj54jw, ftCEFvu7TU7DrB6anx6Y1w, Po6JSVCQ8uMQa-xNfyujew, YUHOLIGa4X36l7_6N_6fhw, Hm-EoksgAvABuE_FS89SWA, n1nzoMk9mGRMeEpZo8CO-Q, oPTb71oGPZq-wOGIWLKnWw, aVYzmb8R0kP7a6aDlQbp0g, 1swlS6V7YqaO5mpC2cEFMQ, 5tAupu4luR5o3nPqHchWUg, r8g477WkBn0vRfpFtcjlWw, qQiSCivEmK5gcENYlVgpmA, mXzzCQemaYEqTFnNVXiGDQ, QmcHZ-T0Y2tl6n3aq8cKfw, beHH5lDsnxYHSlyJ-1dD5Q, GtuGEudf8zA7XaE7oSCoLQ, Q_l2vaE_39flET5i_sPeaw, ESnhINOAqXo9o6b634yrvQ, WPNCgT0yrdmLsX7d9xbgTA, ROUG59fQpRlfXYA5RMQRog, D_QHR-JKS9gg7v5C6nWIyw, A3bM8SRi6RIeJbpn4mNhpQ, TpHmjxty63CJdc_evrApGg, ah6apo-FJeUoRoAn4wRRfA, ayMlu7HPV4hugMvovONs3Q, 1vmNJEjIvjZgQ91vHmL0wA, m_PzdoQlsP5_kMYTgQQhtw, sitciOmjxkAP2ElewiEFzg, f5ICT8V7mBCY_8CSWj10eQ, QUWz5zssrrgjYihaJxvG3Q, jV0NtJgcWqZUsz1HzG6d9g, osZVzx-ee_hMnoIoEHxNCw, 2iwU8pkvIvEergDYBKEF-A, gQZjbgi58lFizt2ITHgWoA, iTOyzMo5vA_8rwkUUnb9sg, ta9Snwp9gd6WYqyFXNkU1w, cfKWivPUw3HhesWhZMRrjg, BtIqqTxjhmqQblH_PINQWQ, V6R0djDaUBqSDEXPhEI6eg, ddrnCHDH_iwfObRxGSejCw, pWjNseSVmUWfhpRHd9Dw4Q, 1oIVJ1kIF2lGU18zF436DQ, wBedoo0mQz4yrWbMeqy10g, Un3vWCLEQfO83-LxmXARtA, i_wZjkOm0hURCPmxJ0-fdQ, eDwFWUMeZFp_MIwT0-wVuA, 10i64QEBYxDJEdBcFvDQqg, rlck6Jo6eQ6JtPMb3pOzjQ, oeEUaOSlrt8WqXtrj9ZqZA, x2fvCVtojYOnenyj5Bia6Q, lH_TvMfgPhQfLj9SyogbQQ, LY9MSEMnS8u0VIwTtJUT4Q, e1iKSL1PB7dQ-RAi-PSi1g, ycVWP1Vp5MubfsjoYDsZpw, dEZRCzdlI1Kgd39ZkwRQqw",2,3.54,0,0,0,0,0,1,5,2,2,3,0,Cassandra,91,137,16,26,2014,5,10,1187,5,7.079184394609668,1,4,1.791759469228055,1342,7.201916317531627
1,59588,Ak3E8BNlIz5OVu3W95do6A,Chy9QXjcwUBIDbAYu-2lYw,kd1VNJdd92T2eQ4hqvYQ5A,0,0,0,"This is an Awesome place, pizza is great tasting, thin crust. The staff are very friendly. I highly recommend this place. Try the Asian Zest salad too.",Above the Crust,7810 W Ann Rd,Las Vegas,NV,89149,36.2640321,-115.26620919999999,1,4.0,,None,0,4.4,0,0,0,0,0,0,0,0,0,0,0,Michelle,5,1,0,0,2013,11,24,151,1,5.017279836814924,7,9,5.58724865840025,4,1.3862943611198906
2,62243,WgOCB-JlQ_Zhu_o-riB1ag,Lsotbt6KKNSqfycOz0CwFA,6XJ6nROr9Fsk6jpEuWM8kw,0,0,0,Great to have trash cans freshly washed and smelling great.  We've been doing house renovation and not having to crawl into the cans (I'm short!) to wash them is a huge help.  Bubble Binz gets them so much cleaner than I can.  The service is definitely worth not having the hassle ourselves.,Bubble Binz,7495 W Azure Dr 110,Las Vegas,NV,89130,36.274442799999996,-115.2594486,1,5.0,,None,0,4.83,0,0,0,0,0,0,0,0,0,0,0,Peggy,6,0,0,0,2017,10,11,291,2,5.673323267171493,3,10,3.555348061489413,4,1.3862943611198906
3,9416,ts_2zk0q_HXKpjpqpQZldw,aVIFa3MvBPmfOePoV6rCQQ,SVhM3Pxjw-PUPr1sBghqlw,0,0,0,this place is nasty they didnt disclose my cost up front..if i would have known i would have said no..then poom a $251 bill after insurance and they tossed me to a collection agency paid their azz today,SimonMed Imaging - Gilbert Spectrum,"2680 S Val Vista Dr. Ste 135, Bldg 7 Ste 135",Gilbert,AZ,85295,33.302772,-111.75613700000001,1,2.0,,None,0,1.2,0,0,0,0,0,0,0,0,0,0,0,Anthony,3,8,1,0,2018,3,17,202,1,5.308267697401205,5,1,4.532599493153255,4,1.3862943611198906
4,37272,ZKj-7SacKuh4v43ShDyJiA,pl21oOsY0iSqBF8OxuXpzA,piHJq_NDrOh5SYk3AyQVOg,2,0,0,"First, the space - so inviting, warm and full of charm. 
Second, the service - happy staff, very helpful in answering our many questions, and anxious to hear our feedback. 
Third, the food - Fantastically delicious! We had the ricotta waffles, chicken and waffles and the pop tart. Plus amazing and fresh grapefruit juice. Would have all of it again but really can't wait to try something new next time.",Chestnut Fine Foods & Provisions,"4350 E Camelback Rd, Bldg I-100",Phoenix,AZ,85018,33.5098255809,-111.987097553,1,3.5,,None,0,4.54,0,0,0,0,0,0,0,0,0,0,0,Sophie,11,11,7,1,2011,11,6,403,3,5.998936561946683,7,9,5.605802066295998,4,1.3862943611198906
5,35930,JVesEiQvnSwBCzkVWHLw-g,L6kKC-BwlwBxv2g4FQo5LQ,1839Avk-JpsRaBtrNRbqyg,1,0,0,"If I could give zero stars for this review I would. A group of us from out of town decided to go out after catching a game at the ballpark. After bar hopping in the ""southside"" district, a group of locals told us to check out Jimmy D's for a good bar to dance in. Walking up to the bar, we were refused entrance due to our attire, which was t-shirts and jerseys for the opposing team. The bouncers were outright rude and offensive. When asked why denied entrance the reason they gave was ""we have the right to refuse business to anyone for any reason, since this is a private establishment"". They said they thought that the fact that we were wearing clothes representing another team would upset the other patrons and cause a fight. The fact that a local bar would refuse business is just baffling to me, especially a group of young women looking to have a great time and celebrate a special event. To make it worse the police officer standing at the front door was rude, misogynistic, and demeaning to a group of people that was just asking why such a rule was in place- we were just trying to have a great time visiting this new city. What a way to portray Pittsburgh bars in a negitive light. I would recommend for anyone visiting the city to save yourself and go anywhere else.",Jimmy D's,1707 E Carson St,Pittsburgh,PA,15203,40.428945899999995,-79.9816473,1,2.0,,None,0,3.67,0,0,0,0,0,0,0,0,0,0,0,Kathleen,3,2,0,0,2015,7,11,1281,5,7.155396301896733,3,4,3.912023005428147,4,1.3862943611198906
6,54487,nINFYPq8Qnr820CZ023Pog,-aV7azrzW2rlAm6G4DA-cw,CQk3WJtULz_xOkUM6o7wpQ,0,0,0,"Friendly staff, good food, and prominent menu selection. The staff could be more enthusiastic, though.",Babystacks Cafe,"550 N Stephanie St, Ste D",Henderson,NV,89014,36.060316750700004,-115.0454755955,1,4.0,"2016,2017,2018","EbHWsgEoI67423POyXQSkg, qZ3sJPn5NqSVFMLYGAJH_A, A5A34ixb-yy6nwL42iZsnw, XORvWH1_rIDjIuTtJuTZhg, PSaeSjCqopT2Kx9_5mmEeQ, 2ySO_V8S6ssli6lauCR5pA, xZ5VGpKKusUUjGrdsHHqRw, eN7khl6D9u4CQOpvYvGpvA, qDol-OJgpcxUKzPMEDb3lg, _VLJPIDqRMwtuF17Dcz-EQ, ZpUI9ze0YlA6nMSHwx3ZYQ, G5p_PMwMCfHEG7ae_aSPyg, Pt40fSNS0tisY4EfR2MqEg, A0gA5kBN_0WymngAYRChvQ, i_DR3vdE73nVm2GlMbGpGA, dz-ORUdMTH4d0YF0dwa5xA, IS_KrqCgsNoXYuHZYBJr4A, 6H4Zj-c7FqM9mCsXvwaEQw, IvoNNBzmH4b82fj9kHgAgg, q1tg4-cLJWcy3HTEn9NlGQ, H5wdoLgODRkFcfzZ-AAH8w, qFcLTyXArjELJItcLcI26g, bXSA3gJ7ifCW--Jy-u_TlQ, NhgU7RhuYYFmpkb1jlYJ6Q, yPL5K_RJ8GXMfmyYilVRqA, OKkb450FY2cLXbwrFOPC-g, bLbSNkLggFnqwNNzzq-Ijw, TgW-w80-ketnwdUsjsAaNw, LTCxnnAQGaGZPHZx4KbvGA, cz4H3lKrT9KbT7tibGPuSw, D43OWyfzIQjL8feJpYh2SQ, lEkCHd_fA-oFjGe51Z1FCg, ApjSaDZD9OeSqimHE9Qo0Q, p6E9Du4zQvdCixwymPecqw, lvxUY2x8QZJ-nHrJ_X9JTQ, rdEcd_62Kx8yyjAwxmBFZA, QSF6KbEjVDiNZ0NC7X-tBw, jSG4AdBZatas_plK7LkGUw, UeJ98sMQWrl5cJJqSeOsNA, JktkPizuRAA32z-m1UCsBw, IamJ-OX89_P-i-xkknwpPA, wHw29VJKpu1IXJ0tXznaXQ, ohTqfP1z07cnFRKfdOXRvg, RcVajkC06xlDNr1208bRSQ, AQaDEFPvOpT9gYRb2MaR_g, fbqb-z8c6e7d6SiyM2tHPg, jZUpqurVtlrN2QrgLxQzZw, mkbx55W8B8aPLgDqex7qgg, lyfYBqtDGJJ1c98pfLUcLQ, 5cBfwjuOT9HV2539Rucz5Q, rGdlzd2cTXFaEA3H2M8OQA, AmMd7xpnaf8axS_roCBFRw, yyDp7MZ2st7p0fOQuFYpcA, wTL5okWkDhgCxgND1rQThw, wXZS42D0L8hoCiSh2Krc_A, 1GH6Hnh6jLfCT951zmcUYw, VDDtlRHkZiPP_8MYd1f6Jw, LkDL1xwxEymGi_pOi2e5Rw, _SS5TRbYnfzaFUmZlLyLiw, 2YiBYO8n32upYTJnpWgqLg, X2Cf71Ab7EM9Yz4qJnAfug, Bfzuxs28-J7zQjKTvzXEXw, owlUazXSDLaxlOV7z8181g, 9KCoXFS7alSJsGfFsZANFQ, XQ_nFlUasT_NYksIHDP-kA, QCtHk02W_Asu2LFfdmGQDA, Ryxj0u0AW3mRsRypdYli2A",12,4.16,4,0,0,0,0,9,12,11,11,6,7,Eiprheel,160,272,62,174,2014,5,3,102,1,4.624972813284272,9,8,6.677083461247137,1606,7.381501894506707
7,7026,Yt-gFmHhyD1ouJFvDPdWGw,dKU1fD4mrl7_LTEJ-VYd9A,5shgJB7a-2_gdnzc0gsOtg,1,0,1,best food ever in Vegas. You can waste 150USD in a average steakhouse or come 3 times here for delicious food.,Firefly,3900 Paradise Rd,Las Vegas,NV,89169,36.118838399999994,-115.15448020000001,0,4.5,,None,1,4.13,0,1,0,0,0,0,1,0,0,0,0,Christoph,8,5,1,1,2011,10,28,110,1,4.700480365792417,10,8,7.181591944611865,4,1.3862943611198906
8,44522,nIwG3slvedAg6VxN_uOW5w,iHTfOATNm9Gpqk40ocWIaQ,wNXw53wmePcf_V3rF18LUg,0,0,0,I love this place!  The food is really great and well-priced for the area.  The atmosphere is fun as well if a bit on the loud side but typical for a busy fun/relaxed restaurant.  I always go with the penne a la vodka and it has never let me down.,Grazie Ristorante,2373 Yonge Street,Toronto,ON,M4P 2C8,43.7093922,-79.39868390000001,1,4.0,,None,0,4.54,0,0,0,0,0,0,0,0,0,0,0,Alana,13,9,0,0,2013,9,7,247,2,5.5093883366279774,8,9,5.9053618480545715,4,1.3862943611198906
9,16508,KiZamF-eYcay_injarjIeQ,SX3nJaeJRZ3dLAwtbr1xwA,ADyBxiY1BBR8149h9TVi5A,0,0,0,"I really wish I could of spent more time in this incredible store. Such an amazing sense of nostalgia. Their selection is great. Toy cars, toys from the 80s & 90s, vinyl figures...I went in specifically for some POP figures. Gabie was a pleasure and really helpful when it was time to search. She showed me a few and the prices were reasonable. Make this a stop if you happen to be in Las Vegas.",Toy Shack,450 Fremont St,Las Vegas,NV,89104,36.169865518,-115.1410101574,1,3.5,,None,0,3.75,0,0,0,0,0,0,1,0,0,0,0,Leroy,6,3,2,0,2014,6,5,395,3,5.978885764901122,6,5,5.043425116919247,4,1.3862943611198906
